,name,host_id,host_name,host_location,latitude,longitude,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,amenities,first_review,last_review,license,hosts_time_as_user_years,hosts_time_as_host_years,host_listings_count,accommodates,bathrooms,bedrooms,beds,reviews_per_month,price,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count
0,Huge flat for 8 people close to Sagrada Familia,71615,Maria Y Mireia Barcelona4Seasons,"Barcelona, Spain",41.40556,2.17262,f,t,t,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Pets allowed"", ""Heating"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Clothing storage"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Shampoo"", ""Cooking basics"", ""Smart lock"", ""City skyline view"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""30 inch TV"", ""Self check-in"", ""Essentials""]",2013-05-27,2026-05-28,Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062,16.0,15.0,31.0,8.0,2.0,3.0,5.0,0.37,409.0,1.0,999.0,999.0,2.2,999.0,15,22,52,123,59.0,9.0,1.0,9.0,54,22086.0,4.41,4.47,4.59,4.66,4.64,4.83,4.38,20.0
1,CCIB Forum· Large Balcony · 5 min walk to CCIB,90417,Marnie,"Catalonia, Spain",41.41243172529066,2.219750335269476,t,t,t,el Besòs i el Maresme,Sant Martí,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Private entrance"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Oven"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Paid parking off premises"", ""Coffee"", ""Free street parking"", ""Smoke alarm"", ""Portable heater"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Electric stove"", ""Hair dryer"", ""Toaster"", ""Waterfront"", ""Coffee maker: drip coffee maker, Nespresso"", ""Outdoor dining area"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Neutral body soap"", ""Wifi"", ""Paid parking garage on premises \u2013 1 space"", ""Shared beach access"", ""Ceiling fan"", ""Wine glasses"", ""Cooking basics"", ""City skyline view"", ""Hot water"", ""Fire extinguisher"", ""Long term stays allowed"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""43 inch HDTV with Amazon Prime Video"", ""Books and reading material"", ""Essentials"", ""Outdoor furniture"", ""Noise decibel monitors on property"", ""Bidet""]",2011-03-15,2026-06-07,Spain - National registration number<br />ESFCTU000008106000547360000000000000000000HUTB0050572<br /><br />Barcelona - Regional registration number<br />HUTB-005057,16.0,15.0,5.0,5.0,2.0,3.0,4.0,0.53,388.0,2.0,1125.0,1125.0,3.5,1125.0,10,34,64,239,99.0,11.0,1.0,11.0,66,25608.0,4.84,4.95,4.91,4.94,4.99,4.69,4.71,1.0
2,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,"Barcelona, Spain",41.37978,2.17623,t,t,t,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Private entrance"", ""Dryer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""First aid kit"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Paid parking on premises"", ""Shampoo"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Fire extinguisher"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""High chair"", ""Iron"", ""Beach access"", ""Essentials"", ""Extra pillows and blankets""]",2010-10-03,2026-05-26,Spain - National registration number<br />ESFCTU000008119000093652000000000000000HUTB-001506712<br /><br />Barcelona - Regional registration number<br />HUTB-150671,16.0,15.0,3.0,9.0,3.0,2.0,6.0,1.59,397.13,1.0,1125.0,1125.0,4.9,1125.0,7,29,59,329,5.0,37.0,1.0,33.0,222,4900.0,4.59,4.64,4.68,4.72,4.75,4.65,4.48,2.0
3,In front of the beach,158596,Ester,"Barcelona, Spain",41.38037,2.19272,f,t,t,la Barceloneta,Ciutat Vella,Private room in rental unit,Private room,"[""Dedicated workspace"", ""Refrigerator"", ""Kitchen"", ""Shampoo"", ""Washer"", ""Essentials"", ""TV"", ""Hair dryer"", ""Iron"", ""Wifi"", ""Elevator"", ""Heating"", ""Dishes and silverware"", ""Beach access \u2013 Beachfront"", ""Air conditioning"", ""Hangers"", ""Smoking allowed"", ""Shared patio or balcony"", ""Room-darkening shades""]",2011-09-28,2023-12-13,Sin licencia registrada,15.0,15.0,1.0,1.0,1.0,2.0,2.0,0.6,43.24,31.0,65.0,65.0,31.0,65.0,0,8,38,38,108.0,0.0,0.0,0.0,0,0.0,4.79,4.88,4.71,4.93,4.92,4.92,4.82,1.0
4,Architect's Loft near Gaudí & Passeig de Gràcia,177617,Joaquin,"Barcelona, Spain",41.39631,2.16832,t,t,t,la Dreta de l'Eixample,Eixample,Entire condo,Entire home/apt,"[""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Freezer"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""Heating"", ""Franke electric stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Microwave"", ""Drying rack for clothing"", ""Housekeeping available every day - available at extra cost"", ""Coffee maker: pour-over coffee"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cooking basics"", ""Paid high chair - available upon request"", ""Hot water"", ""Long term stays allowed"", ""Fast wifi \u2013 98 Mbps"", ""Refrigerator"", ""Host greets you"", ""Clothing storage: closet"", ""Iron"", ""Room-darkening shades"", ""Books and reading material"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Essentials"", ""Extra pillows and blankets""]",2011-06-16,2026-06-19,Barcelona - Regional registration number<br />HUTB-001282<br /><br />Spain - National registration number<br />ESFCTU00000805400028019300000000000000000HUTB-0012821,15.0,15.0,5.0,4.0,1.0,1.0,2.0,2.46,226.13,1.0,364.0,364.0,1.9,364.0,0,14,28,289,5.0,2.0,0.0,1.0,255,57663.0,4.56,4.62,4.59,4.85,4.86,4.91,4.52,5.0
5,Sagrada Familia area - Còrsega 2,135703,Nick,"Barcelona, Spain",41.4057,2.17016,f,t,t,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,"[""Pack \u2019n play/Travel crib"", ""Oven"", ""Dedicated workspace"", ""Refrigerator"", ""Kitchen"", ""Shampoo"", ""Microwave"", ""Essentials"", ""Patio or balcony"", ""Coffee maker"", ""Hair dryer"", ""Iron"", ""Paid parking off premises"", ""Wifi"", ""Stove"", ""Elevator"", ""Heating"", ""Smoke alarm"", ""Hot water"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""Dishes and silverware"", ""TV with standard cable"", ""Self check-in"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Hangers"", ""Dishwasher"", ""City skyline view"", ""High chair"", ""Fire extinguisher"", ""Crib"", ""Smart lock""]",2011-08-12,2026-01-02,Barcelona - Regional registration number<br />HUTB-001723<br /><br />Spain - National registration number<br />ESFCTU00000805800030001100000000000000000HUTB-0017235,16.0,15.0,1.0,5.0,1.0,2.0,2.0,0.81,177.67,1.0,31.0,31.0,1.0,31.0,0,0,0,0,147.0,11.0,0.0,24.0,66,11726.22,4.64,4.76,4.39,4.93,4.96,4.9,4.59,1.0
6,Charming apartment with fantastic views!,366428,Ariadna,"Barcelona, Spain",41.41841,2.13307,f,t,t,Vallcarca i els Penitents,Gràcia,Entire rental unit,Entire home/apt,"[""Crib"", ""Free street parking"", ""Heating"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Sea view"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""City skyline view"", ""Hot water"", ""Washer"", ""Mountain view"", ""Host greets you"", ""High chair"", ""Iron"", ""Essentials""]",2011-06-23,2011-06-23,Barcelona - Regional registration number<br />HUTB-007966,15.0,15.0,1.0,9.0,3.5,3.0,5.0,0.01,417.8,5.0,28.0,28.0,5.0,28.0,28,58,88,363,1.0,0.0,0.0,0.0,0,0.0,5.0,4.8,5.0,5.0,5.0,4.8,5.0,1.0
7,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,"Barcelona, Spain",41.39705,2.17469,f,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Dryer"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Pets allowed"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Outdoor dining area"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Cooking basics"", ""BBQ grill"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""High chair"", ""Iron"", ""Smoking allowed"", ""Essentials"", ""Outdoor furniture""]",2011-03-27,2026-06-08,Barcelona - Regional registration number<br />HUTB-002424<br /><br />Spain - National registration number<br />ESFCTU00000807300018946600000000000000HUTB-002424-083,15.0,15.0,2.0,2.0,1.5,1.0,1.0,0.46,275.5,2.0,1125.0,1125.0,2.0,1125.0,25,51,69,167,86.0,2.0,1.0,1.0,12,3306.0,4.25,4.8,4.46,4.8,4.61,4.58,4.13,2.0
8,Modernist apartment in the center minim 32 nights,368317,Nacharosa,"Barcelona, Spain",41.38174,2.16663,f,t,t,el Raval,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Private patio or balcony"", ""Children\u2019s books and toys"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Paid parking off premises"", ""Babysitter recommendations"", ""Heating"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""High chair"", ""Iron"", ""Smoking allowed"", ""Pocket wifi""]",2011-05-08,2024-05-31,Spain - National registration number<br />ESFCNT00000805600004336500000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,15.0,15.0,10.0,5.0,1.0,2.0,4.0,0.05,107.61,31.0,730.0,730.0,31.0,730.0,26,56,86,361,10.0,0.0,0.0,0.0,0,0.0,4.7,4.8,4.8,4.8,4.9,4.8,4.6,10.0
9,Lugaris Beach Business Apartment,375625,Lugaris Apartments Team,"Barcelona, Spain",41.39909,2.20733,t,t,t,el Poblenou,Sant Martí,Entire serviced apartment,Entire home/apt,"[""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""32 inch HDTV with standard cable"", ""Central air conditioning"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Coffee"", ""Babysitter recommendations"", ""Single level home"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Waterfront"", ""Exterior security cameras on property"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Building staff"", ""Shared outdoor pool"", ""Coffee maker"", ""Shampoo"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Shower gel"", ""High chair"", ""Iron"", ""Room-darkening shades"", ""Beach access"", ""Self check-in"", ""Safe"", ""Paid parking garage on premises"", ""Essentials"", ""Extra pillows and blankets""]",2014-08-19,2026-06-20,Barcelona - Regional registration number<br />HUTB-000173<br /><br />Spain - National registration number<br />ESFCTU00000807200078128100000000000000000HUTB-0001713,15.0,15.0,6.0,3.0,1.0,1.0,2.0,0.3,209.0,1.0,28.0,28.0,3.4,28.0,25,55,85,245,5.0,2.0,0.0,1.0,255,53295.0,4.75,4.72,4.79,4.77,4.81,4.81,4.52,6.0
